,taz_id,yesh_id,stat11_id,prc,yesh_stat11_id,cahana_id
10803,2123,8000,9,0.0010581849482805994,80000009,80009
10788,2119,8000,2,0.975555571768612,80000002,80002
10808,2123,8000,7,0.9826628486480903,80000007,80007
8839,1803,8200,11,0.0032672474376847344,82000011,820011
8808,1798,8200,21,0.2123046465009593,82000021,820021
8834,1802,8200,11,0.001682617357315226,82000011,820011
8829,1801,8200,11,0.0006099347818661556,82000011,820011
8790,1794,8200,11,0.962301569903854,82000011,820011
8822,1800,8200,11,0.011910811644372913,82000011,820011
8791,1795,8200,11,0.006441258932347348,82000011,820011
8792,1795,8200,14,0.0030201988290576133,82000014,820014
8815,1799,8200,23,0.008039046812100341,82000023,820023
8816,1799,8200,32,0.19700587597417848,82000032,820032
8793,1795,8200,12,0.9905385329307538,82000012,820012
8817,1799,8200,34,0.4065616366610422,82000034,820034
8818,1799,8200,33,0.2302408944472846,82000033,820033
8814,1799,8200,22,0.009774703083271868,82000022,820022
8819,1799,8200,13,0.0005442375547384836,82000013,820013
8820,1799,8200,31,0.14413117378465892,82000031,820031
8809,1798,8200,13,0.2197457326893435,82000013,820013
8804,1798,8200,22,0.3545506854376669,82000022,820022
8807,1798,8200,32,7.991165798420362e-05,82000032,820032
8805,1798,8200,12,0.005141317329978174,82000012,820012
8811,1798,8200,23,0.1767994837227221,82000023,820023
8806,1798,8200,14,0.014061667595702123,82000014,820014
8801,1797,8200,14,0.0037547592662938913,82000014,820014
8796,1796,8200,14,0.954533948134733,82000014,820014
8802,1797,8200,11,0.02289340024591065,82000011,820011
8799,1797,8200,12,0.9636730871193847,82000012,820012
8795,1796,8200,12,0.016926161779587792,82000012,820012
8794,1796,8200,13,0.0018984302426660084,82000013,820013
8840,1803,8200,12,0.007364008379087073,82000012,820012
8798,1796,8200,21,0.00814737405361713,82000021,820021
8861,1806,8200,34,0.003032698366374131,82000034,820034
8862,1806,8200,33,0.0003880812043266458,82000033,820033
8714,1779,8200,34,0.009457250080521047,82000034,820034
8717,1779,8200,31,0.021495784055463443,82000031,820031
8718,1780,8200,34,0.02108390318554931,82000034,820034
8847,1805,8200,13,0.006685823794398547,82000013,820013
8855,1805,8200,12,0.0015297936147984812,82000012,820012
8842,1804,8200,12,0.014522996609533696,82000012,820012
8854,1805,8200,33,0.0063804877970218285,82000033,820033
3133,544,8300,312,0.0005322548742656183,83000312,8300312
3134,544,8300,314,0.00015656659849402747,83000314,8300314
3129,544,8300,411,0.006292065046675138,83000411,8300411
3212,554,8300,122,0.16772436546394165,83000122,8300122
3144,546,8300,315,0.0006143592681311514,83000315,8300315
3135,544,8300,412,0.7902131290100521,83000412,8300412
1687,289,8300,311,0.00027201438570833414,83000311,8300311
3008,521,8300,614,0.9946625864758746,83000614,8300614
3132,544,8300,413,0.1954120996286635,83000413,8300413
3207,554,8300,121,0.26176547701316316,83000121,8300121
3131,544,8300,521,0.007073575584423695,83000521,8300521
3009,522,8300,612,4.7631005057717325e-05,83000612,8300612
3015,522,8300,614,0.0011363983436341338,83000614,8300614
3128,544,8300,423,0.0002391420249210477,83000423,8300423
3137,545,8300,312,0.005857881013829895,83000312,8300312
3141,546,8300,412,0.0002565068313075253,83000412,8300412
3146,546,8300,422,0.5309104076358342,83000422,8300422
3014,522,8300,524,0.0010002409076819024,83000524,8300524
3143,546,8300,421,0.46274804500704686,83000421,8300421
3148,546,8300,423,0.0047577854615705704,83000423,8300423
3142,546,8300,425,0.0001062585440653736,83000425,8300425
3147,546,8300,413,0.0006057851665005553,83000413,8300413
3007,521,8300,613,1.7307359821547712e-05,83000613,8300613
3005,521,8300,612,0.004737111533356344,83000612,8300612
3139,545,8300,412,0.005487554105465534,83000412,8300412
2022,337,8300,621,0.0009163927504376553,83000621,8300621
3209,554,8300,315,0.0003807069888632344,83000315,8300315
3138,545,8300,521,0.008824812071878848,83000521,8300521
3140,545,8300,411,0.9768906133899351,83000411,8300411
3136,545,8300,311,0.002939139418759245,83000311,8300311
3130,544,8300,421,8.116723253486669e-05,83000421,8300421
3006,521,8300,615,0.0005829946309130168,83000615,8300615
3119,543,8300,311,0.009129357719905284,83000311,8300311
3003,520,8300,623,4.554094499370796e-05,83000623,8300623
2959,511,8300,623,0.0003419298631839753,83000623,8300623
3158,548,8300,423,0.010024377948639576,83000423,8300423
3159,548,8300,426,0.00311275769263063,83000426,8300426
3164,549,8300,425,0.21493368786054176,83000425,8300425
3162,549,8300,424,0.0018648278039670974,83000424,8300424
3160,549,8300,426,0.7827559848279355,83000426,8300426
3165,549,8300,422,0.0003911744026019771,83000422,8300422
3163,549,8300,224,1.3968812078832911e-05,83000224,8300224
3161,549,8300,315,4.035629287407466e-05,83000315,8300315
3169,550,8300,611,0.004023503043935725,83000611,8300611
2961,512,8300,614,1.281017582350095e-05,83000614,8300614
2962,512,8300,613,0.9999871898242352,83000613,8300613
2995,519,8300,611,0.9487972258756142,83000611,8300611
3217,555,8300,213,0.0005468730784949758,83000213,8300213
3219,555,8300,223,0.0004390354700464313,83000223,8300223
