stat_id,Jewish Orthodox,Jewish Non-Orthodox,Muslim,Christian,Druze,Other,pop_thou
264011,0.008,0.992,0,0,0,0,3.2
264012,0.007,0.993,0,0,0,0,2.1
264013,0.005,0.995,0,0,0,0,3.8
265011,0.012,0.988,0,0,0,0,5
265013,0.013,0.987,0,0,0,0,4.9
265021,0.01,0.99,0,0,0,0,3.7
265022,0.015,0.985,0,0,0,0,4.1
265023,0.008,0.992,0,0,0,0,3.6
265031,0.005,0.995,0,0,0,0,4.2
265032,0.008,0.992,0,0,0,0,3.3
265036,0.009,0.991,0,0,0,0,0.7
271011,0,0,1,0,0,0,1.8
271012,0,0,1,0,0,0,4.6
271013,0,0,1,0,0,0,2.3
271014,0,0,1,0,0,0,2.5
271015,0,0,1,0,0,0,4.7
271021,0,0,1,0,0,0,4.5
271022,0,0,1,0,0,0,4.4
271031,0,0,1,0,0,0,6.5
271032,0,0,1,0,0,0,1.7
271033,0,0,1,0,0,0,7
271034,0,0,1,0,0,0,5
280010,0.019,0.981,0,0,0,0,1.9
361610,0.008,0.992,0,0,0,0,3.6
630011,0.007,0.993,0,0,0,0,2.8
630012,0.004,0.996,0,0,0,0,6
630013,0.02,0.98,0,0,0,0,3.6
630021,0.005,0.995,0,0,0,0,4.2
630023,0.023,0.977,0,0,0,0,3.8
630031,0.014,0.986,0,0,0,0,2.8
630032,0.007,0.993,0,0,0,0,2.7
630033,0.01,0.99,0,0,0,0,4.4
630034,0.012,0.988,0,0,0,0,4.1
630042,0.049,0.951,0,0,0,0,3.2
630043,0.011,0.989,0,0,0,0,3.8
630044,0.007,0.993,0,0,0,0,3.2
640011,0.013,0.987,0,0,0,0,3.9
640012,0.01,0.99,0,0,0,0,4.1
640013,0.008,0.992,0,0,0,0,4.2
640035,0.007,0.993,0,0,0,0,3.7
640042,0.005,0.995,0,0,0,0,3
640043,0.008,0.992,0,0,0,0,3
640054,0.007,0.993,0,0,0,0,5.1
640055,0.013,0.987,0,0,0,0,1.9
640057,0.019,0.981,0,0,0,0,2.4
640065,0.004,0.996,0,0,0,0,3.3
650013,0.003,0.997,0,0,0,0,4.3
650023,0.016,0.984,0,0,0,0,5.9
650031,0.008,0.992,0,0,0,0,4.2
650032,0.004,0.996,0,0,0,0,5.4
650043,0.014,0.986,0,0,0,0,2.6
650044,0.056,0.944,0,0,0,0,4
650045,0.007,0.993,0,0,0,0,3.7
650051,0.013,0.987,0,0,0,0,4
650052,0.006,0.994,0,0,0,0,3.6
650062,0.006,0.994,0,0,0,0,2.7
650063,0.022,0.978,0,0,0,0,3.3
650064,0.007,0.993,0,0,0,0,3.9
670011,0.006,0.994,0,0,0,0,5.7
670012,0.123,0.877,0,0,0,0,4.6
670013,0.089,0.911,0,0,0,0,2.6
670014,0.05,0.95,0,0,0,0,1.2
670015,0.034,0.966,0,0,0,0,1.3
670021,0.004,0.996,0,0,0,0,4.9
670024,0.016,0.984,0,0,0,0,2
670025,0.008,0.992,0,0,0,0,2.9
670032,0.039,0.961,0,0,0,0,2.3
670033,0.013,0.987,0,0,0,0,1.8
670034,0.137,0.863,0,0,0,0,2.1
670036,0.006,0.994,0,0,0,0,2.5
680012,0.022,0.978,0,0,0,0,3.7
680013,0.014,0.986,0,0,0,0,4.5
680014,0.007,0.993,0,0,0,0,4.5
680021,0.024,0.976,0,0,0,0,5.9
680022,0.019,0.981,0,0,0,0,5
680023,0.07,0.93,0,0,0,0,4.4
680024,0.01,0.99,0,0,0,0,4.6
680025,0.014,0.986,0,0,0,0,5.8
680032,0.017,0.983,0,0,0,0,3.2
690012,0.012,0.988,0,0,0,0,5.1
690013,0.003,0.997,0,0,0,0,4.3
690021,0.007,0.993,0,0,0,0,3.1
690022,0.011,0.989,0,0,0,0,5.4
690032,0.006,0.994,0,0,0,0,2.8
690037,0.015,0.985,0,0,0,0,3.5
690041,0.006,0.994,0,0,0,0,3.5
690042,0.007,0.993,0,0,0,0,2.2
